[2018-12-07 01:09:19,463] [INFO] [xinxideMacBook-Pro.local][run.py - line:19] 未查询到进程
[2018-12-07 01:09:22,825] [INFO] [xinxideMacBook-Pro.local][run.py - line:34] 启动gunicorn服务!
[2018-12-07 01:09:22,826] [INFO] [xinxideMacBook-Pro.local][client.py - line:31] 开始获取报告!
[2018-12-07 01:09:22,933] [INFO] [xinxideMacBook-Pro.local][client.py - line:36] 服务端状态码:200
[2018-12-07 01:09:22,934] [INFO] [xinxideMacBook-Pro.local][client.py - line:40] 报告路径:/Users/xinxi/PycharmProjects/maxauto/report/reports/report_20181207010918.html
[2018-12-07 01:10:50,109] [INFO] [xinxideMacBook-Pro.local][run.py - line:26] kill进程1537
[2018-12-07 01:10:50,117] [INFO] [xinxideMacBook-Pro.local][run.py - line:26] kill进程1540
[2018-12-07 01:10:53,406] [INFO] [xinxideMacBook-Pro.local][run.py - line:34] 启动gunicorn服务!
[2018-12-07 01:10:53,407] [INFO] [xinxideMacBook-Pro.local][client.py - line:31] 开始获取报告!
[2018-12-07 01:10:53,557] [INFO] [xinxideMacBook-Pro.local][client.py - line:36] 服务端状态码:200
[2018-12-07 01:10:53,558] [INFO] [xinxideMacBook-Pro.local][client.py - line:40] 报告路径:/Users/xinxi/PycharmProjects/maxauto/report/reports/report_20181207011049.html
[2018-12-07 01:15:42,360] [INFO] [xinxideMacBook-Pro.local][run.py - line:19] 未查询到进程
[2018-12-07 01:15:45,643] [INFO] [xinxideMacBook-Pro.local][run.py - line:34] 启动gunicorn服务!
[2018-12-07 01:15:45,644] [INFO] [xinxideMacBook-Pro.local][client.py - line:31] 开始获取报告!
[2018-12-07 01:15:45,768] [INFO] [xinxideMacBook-Pro.local][client.py - line:36] 服务端状态码:200
[2018-12-07 01:15:45,770] [INFO] [xinxideMacBook-Pro.local][client.py - line:40] 报告路径:/Users/xinxi/PycharmProjects/maxauto/report/reports/report_20181207011541.html
[2018-12-07 12:09:16,062] [INFO] [bogon][run.py - line:40] 删除缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:09:16,062] [INFO] [bogon][run.py - line:42] 创建缓存目录:/Users/xinxi/PycharmProjects/maxauto/report/tmp/
[2018-12-07 12:09:16,458] [INFO] [bogon][installapp.py - line:37] 卸载app命令:adb -s 192.168.56.101:5555 uninstall com.xueqiu.android
[2018-12-07 12:09:16,462] [INFO] [bogon][installapp.py - line:40] 安装app命令:adb -s 192.168.56.101:5555 install /Users/xinxi/Downloads/com.xueqiu.android_11.9.1_187.apk
[2018-12-07 12:09:17,948] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:18,809] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:19,613] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:20,429] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:21,071] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:21,457] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:21,756] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:22,060] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:22,359] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:22,612] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:22,870] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:23,112] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:23,379] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:23,696] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:24,208] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:24,543] [INFO] [bogon][installapp.py - line:57] app安装中!
[2018-12-07 12:09:24,936] [INFO] [bogon][installapp.py - line:50] app安装成功!
[2018-12-07 12:09:24,936] [INFO] [bogon][installapp.py - line:54] app安装耗时:9s
[2018-12-07 12:09:24,937] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/install_app.log文件完成
[2018-12-07 12:09:25,199] [INFO] [bogon][lanuchapp.py - line:35] 清除数据缓存命令:adb -s 192.168.56.101:5555 shell pm clear com.xueqiu.android
[2018-12-07 12:09:26,319] [INFO] [bogon][lanuchapp.py - line:53] 启动app命令:adb -s 192.168.56.101:5555 shell am start -W com.xueqiu.android/
[2018-12-07 12:09:26,320] [INFO] [bogon][lanuchapp.py - line:57] 本次冷启动时间:815
[2018-12-07 12:09:29,327] [INFO] [bogon][lanuchapp.py - line:82] 均值为:815.0
[2018-12-07 12:09:29,327] [INFO] [bogon][filetools.py - line:38] 写/Users/xinxi/PycharmProjects/maxauto/report/tmp/lanuch_app.log文件完成
[2018-12-07 12:09:29,382] [INFO] [bogon][logintest.py - line:53] appium进程不存在
[2018-12-07 12:09:29,383] [INFO] [bogon][logintest.py - line:68] appium启动命令:appium --log /Users/xinxi/PycharmProjects/maxauto/report/tmp/appium_log --session-override --udid 192.168.56.101:5555 -a 127.0.0.1 -p 4725
[2018-12-07 12:09:34,317] [INFO] [bogon][logintest.py - line:74] 启动appium中...
[2018-12-07 12:09:34,317] [INFO] [bogon][logintest.py - line:76] appium启动成功
[2018-12-07 12:09:41,730] [INFO] [bogon][logintest.py - line:150] 登录测试异常:Message: An unknown server-side error occurred while processing the command. Original error: activity and pkg are required to start an application

